sataces,satcomm,satrate
1.5,3.0,10.0
1.5,3.0,10.0
2.0,3.0,10.0
,,10.0
2.0,3.0,10.0
2.0,2.0,10.0
2.0,2.75,10.0
,2.75,9.0
0.0,3.0,10.0
,,8.0
2.0,2.5,10.0
,,10.0
,,10.0
2.0,3.0,9.0
2.0,3.0,10.0
,,10.0
,,10.0
1.5,2.25,9.0
,,10.0
,3.0,8.0
2.0,2.25,7.0
,3.0,10.0
2.0,2.0,10.0
,,9.0
2.0,3.0,10.0
2.0,2.75,10.0
,,10.0
2.0,2.0,10.0
,,10.0
2.0,2.5,7.0
,,10.0
,,10.0
2.0,3.0,10.0
,,9.0
,3.0,10.0
,,10.0
,3.0,8.0
,,10.0
,,10.0
,3.0,8.0
2.0,2.5,10.0
2.0,3.0,10.0
,,10.0
2.0,3.0,10.0
2.0,2.75,8.0
2.0,3.0,10.0
2.0,3.0,10.0
,,8.0
2.0,2.75,8.0
,,10.0
,,10.0
2.0,3.0,10.0
2.0,3.0,10.0
,,9.0
,,10.0
,,10.0
2.0,2.5,10.0
2.0,2.25,8.0
1.0,0.75,8.0
,3.0,8.0
,,9.0
,,
2.0,3.0,10.0
2.0,3.0,9.0
2.0,3.0,10.0
2.0,3.0,10.0
,,10.0
2.0,2.5,9.0
2.0,3.0,10.0
2.0,1.0,6.0
2.0,3.0,8.0
2.0,3.0,7.0
2.0,3.0,10.0
,,10.0
2.0,3.0,10.0
2.0,3.0,10.0
1.5,0.75,
2.0,2.25,9.0
2.0,2.5,8.0
,,
1.0,2.5,10.0
2.0,3.0,10.0
,,10.0
1.5,3.0,10.0
,,
,,10.0
2.0,2.25,8.0
1.0,2.5,8.0
2.0,2.5,10.0
2.0,2.75,10.0
0.5,2.0,
,,10.0
,2.25,7.0
1.5,,9.0
,,
2.0,3.0,9.0
,,8.0
,,
,,8.0
,,
,,7.0
,3.0,9.0
,,8.0
2.0,2.25,8.0
1.5,2.0,10.0
,,9.0
2.0,2.5,8.0
1.5,1.5,8.0
2.0,3.0,10.0
2.0,3.0,10.0
1.0,2.5,
2.0,2.25,8.0
0.5,1.0,2.0
2.0,2.0,9.0
,,10.0
,,
,,10.0
,3.0,8.0
,3.0,10.0
,,10.0
,,10.0
,,7.0
2.0,3.0,10.0
2.0,3.0,10.0
,,
2.0,3.0,10.0
,,9.0
,,9.0
2.0,3.0,7.0
,3.0,10.0
2.0,2.75,10.0
,,9.0
2.0,3.0,10.0
2.0,3.0,10.0
,3.0,8.0
1.0,2.5,7.0
,,10.0
,,9.0
,2.5,8.0
,,10.0
,3.0,10.0
2.0,3.0,8.0
,,7.0
,,5.0
,,7.0
,,10.0
2.0,2.5,
2.0,3.0,10.0
,,
2.0,1.75,9.0
2.0,,
,,10.0
,,
2.0,2.75,10.0
,,10.0
2.0,2.75,8.0
,,10.0
2.0,3.0,10.0
,2.0,6.0
,2.5,8.0
2.0,3.0,10.0
,,10.0
2.0,1.75,8.0
,,
,,10.0
,2.25,10.0
,,
,,8.0
,,8.0
2.0,2.25,8.0
1.5,2.75,10.0
,,
2.0,2.0,9.0
,,8.0
,,
,,8.0
2.0,2.5,10.0
2.0,3.0,10.0
,,
2.0,3.0,10.0
1.0,3.0,10.0
,2.75,10.0
,,8.0
2.0,3.0,9.0
1.5,1.75,5.0
,,10.0
,,10.0
,,7.0
,,
,3.0,10.0
2.0,2.5,8.0
,3.0,10.0
,,10.0
2.0,2.25,10.0
1.5,1.75,10.0
,2.0,10.0
,,10.0
2.0,1.0,5.0
,,10.0
2.0,3.0,9.0
,,
,,
2.0,1.0,5.0
2.0,3.0,10.0
2.0,1.75,5.0
,3.0,10.0
2.0,3.0,9.0
,,10.0
2.0,3.0,10.0
2.0,2.0,9.0
2.0,2.75,9.0
,,9.0
1.0,1.75,10.0
,,
,,9.0
2.0,2.5,
,,10.0
2.0,3.0,
,,
2.0,3.0,10.0
2.0,3.0,10.0
2.0,2.75,10.0
,2.75,
2.0,3.0,10.0
2.0,2.5,8.0
2.0,3.0,10.0
,,10.0
2.0,3.0,8.0
,3.0,10.0
1.0,0.5,8.0
2.0,3.0,9.0
,,10.0
2.0,3.0,10.0
,,
2.0,2.25,
1.0,2.25,10.0
,3.0,8.0
2.0,1.75,9.0
,3.0,9.0
,,10.0
,,8.0
2.0,3.0,8.0
,3.0,9.0
,,10.0
2.0,3.0,10.0
2.0,2.75,10.0
,,9.0
2.0,2.75,5.0
,,10.0
2.0,3.0,10.0
2.0,3.0,8.0
2.0,,10.0
1.5,2.75,8.0
2.0,2.5,10.0
